1,Scholastic,New York City
2,Springer,London
3,Delacorte Press,Boston
4,Philomel Books,New York City
5,Back Bay Books,London
6,Cambridge University Press,Cambridge
7,Simon & Schuster,Boston
8,Grand Central Publishing,Minneapolis
9,Pocket Books,Boston
10,Harper Collins,New York City
11,Tor Books,Philadelphia
12,Washington Square Press,Seattle
13,Dover Publications,San Diego
14,Broadway Books,New York City
15,Spectra,Portland
16,Bantam Books,Boston
17,Pearson,Minneapolis
18,Microsoft Press,San Diego
19,Penguin Books,Philadelphia
20,Belknap Press,Lincoln
21,International Publishers Co,Zurich
22,Dell Publications,Dover
